source_schema,table_name,primary_key,watermark_column,enabled
dbo,f_sys_role_page,role_page_id,,0
dbo,fhc_TeacherType,teacher_type_id,,0
dbo,fhc_ExternalLogin,Id,,0
dbo,fhc_ResourcePerson,resourceperson_Id,,0
dbo,fhc_SeminarTemplate,seminar_template_Id,,0
dbo,fhc_TentativeOrderTemplate,tentativeOrderTemplate_id,,0
dbo,f_sys_role_page_module,role_page_module_id,,0
dbo,fhc_customer_search_profile,column_name|customer_id,,0
dbo,fhc_TentativeOrderTemplateTask,taskTemplate_Id|tentativeOrderTemplate_Id,,0
dbo,fhc_BuisnessCode,BuisnessCode_id,,0
dbo,fhc_ReportFiles,id,,0
dbo,fhc_TentativeOrdertemplate_CoverageAreaTemplate,coverageAreaTemplate_id|tentativeOrderTemplate_id,,0
dbo,fhc_Transport,transport_id,,0
dbo,f_sys_rolelist,rolelist_id,,0
dbo,fhc_User,user_id,,0
dbo,fhc_Gender,Gender_Id,,0
dbo,f_sys_session,session_id,,0
dbo,fhc_UserRoles,user_roles_id,,0
dbo,fhc_averageCostLength,averagecostlength_id,,0
dbo,fhc_person_ResourceCategory,person_id|resource_category_id,,0
dbo,f_sys_style_template,style_template_id,,0
dbo,f_sys_url,url_id,,0
dbo,SystemActionLog,id,,0
dbo,fhc_DynamicFieldValue,dynamicFieldValue_id,,0
dbo,fhc_ReportCoreNetTransfer,id,,0
dbo,fhc_CustomerSummation,customersummation_id,,0
dbo,fhc_ReportClaimantAcceptanceText,reportClaimantAcceptanceText_id,,0
dbo,fhc_CustomerAccessCardImport,id,,0
dbo,f_sys_user,user_id,,0
dbo,fhc_ClaimLines_ConsultationDates,claimLines_consultationDates_Id,,0
dbo,DiagnosticsLog,id,,0
dbo,f_sys_user_role_channel,user_role_channel_id,,0
dbo,sysdiagrams,diagram_id,,0
dbo,f_table,table_id,,0
dbo,fhc_SpecialKnowledgeSpecification,knowledge_specification_Id,,0
dbo,f_table_connection,connection_id,,0
dbo,fhc_ReportFieldsValidation,report_fields_validation_id,,0
dbo,fhc_SpecialKnowledge,knowledge_Id,,0
dbo,f_table_form_template_slet,form_template_id,,0
dbo,fhc_resourceperson_specialknowledge_specification,resourceperson_id|specialKnowledge_specification_id,,0
dbo,f_table_html_type,html_type_id,,0
dbo,fhc_ReportState,reportState_id,,0
dbo,fhc_settings,settings_id,,0
dbo,f_table_tablecolumn,tablecolumn_id,,0
dbo,fhc_Configuration,Configuration_id,,0
dbo,fhc_ReportClaimant,reportclaimant_id,,0
dbo,f_table_tablecolumn_type,tablecolumn_type_id,,0
dbo,fhc_RateType,rateType_id,,0
dbo,fhc_ConfigurationSetting,ConfigurationSetting_id,,0
dbo,fhc_NewsFileAttachment,newsFileAttachmentId,,0
dbo,fhc_News,newsId,,0
dbo,fhc_Language,LanguageId,,0
dbo,fhc_Role_Module_Permission,module_permission_id|role_id,,0
dbo,f_sys_language,language_id,,0
dbo,fhc_LogType,LogType_id,,0
dbo,fhc_DropDownItems,ddl_id,,0
dbo,fhc_CustomerStatisticsRecipient,id,,0
dbo,fhc_Log,Log_id,,0
dbo,fhc_CustomerInvoiceAddress,custInvAddress_Id,,0
dbo,fhc_City,ZIP_ID,,0
dbo,fhc_report_quota,report_quota_id,,0
dbo,fhc_Module_Permission,module_permission_id,,0
dbo,f_sys_country,country_id,,0
dbo,fhc_LogRecord,LogRecord_id,,0
dbo,f_mod_customservercontrol,customservercontrol_id,,0
dbo,fhc_LogUsage,LogUsage_id,,0
dbo,fhc_InvoiceResource,invoiceresource_id,,0
dbo,f_mod_customusercontrol,customusercontrol_id|group_id,,0
dbo,fhc_JournalFiles,id,,0
dbo,f_mod_htmltext,htmltext_id,,0
dbo,fhc_ReportAssistanceContainerTransfer,id,,0
dbo,f_mod_htmltext_language,htmltext_language_id,,0
dbo,fhc_ExternalServiceType,id,,0
dbo,f_mod_iframe,iframe_id,,0
dbo,f_mod_table,page_module_id|table_id,,0
dbo,fhc_CustomerCompanyServiceType,id,,0
dbo,fhc_CustomerSummationLog,customersummationlog_id,,0
dbo,f_sys_activity_log,activity_log_id,,0
dbo,fhc_SpecialRate,id,,0
dbo,fhc_PersonNormalHoursSetting,id,,0
dbo,fhc_CustomerProduct,id,,0
dbo,fhc_ReportPersonResource2SpecialRate,reportPersonResourceId|specialRateId,,0
dbo,fhc_PersonWeeklyHours,id,,0
dbo,fhc_AgeGroup,ageGroup_id,,0
dbo,FA_DeploymentLog,id,,0
dbo,f_sys_channel,channel_id,,0
dbo,fhc_CustPersons,person_id,,0
dbo,fhc_Claim,claim_Id,,0
dbo,fhc_UserCustomer,id,,0
dbo,fhc_Rate2SpecialRate,rateId|specialRateId,,0
dbo,fhc_ClaimLineStatus,claimLineStatus_id,,0
dbo,fhc_ClaimLines,claimLines_id,,0
dbo,fhc_Report,report_id,,0
dbo,f_sys_channel_language,channel_id|language_id,,0
dbo,fhc_customer_company,customer_company_id,,0
dbo,fhc_ClaimReportSearchType,claimReportSearchType_id,,0
dbo,fhc_LogUserControls,loguserControlId,,0
dbo,fhc_ClaimantDemographicalData,id,,0
dbo,fA_version,dbversion,,0
dbo,fhc_ClaimStatus,claimStatus_Id,,0
dbo,fhc_Coverage,coverage_id,,0
dbo,fhc_CoverageArea,coverageArea_id,,0
dbo,fhc_LogTranslation,LogTranslationId,,0
dbo,fhc_CoverageAreaDetail,coverageDetail_id,,0
dbo,fhc_CustomerReportImportLog,id,,0
dbo,fhc_ClaimantMeasurement,id,,0
dbo,fhc_customer_coverage,customer_coverage_id,,0
dbo,fhc_CoverageAreaTemplate,coverageAreaTemplate_id,,0
dbo,fhc_CustomerReportImport,id,,0
dbo,f_sys_person,person_id,,0
dbo,f_sys_country_language,country_id|language_id,,0
dbo,fhc_StatisticLog,statisticlog_id,,0
dbo,fhc_Calendar,id,,0
dbo,f_sys_customer,customer_id,,0
dbo,fhc_CoverageTemplate,coverageTemplate_id,,0
dbo,fhc_Problems,id,,0
dbo,f_sys_database_log,database_log_id,,0
dbo,fhc_Report_Access_Card,report_access_card_id,,0
dbo,fhc_CoverageTemplate_CoverageAreaTemplate,coverageAreaTemplate_Id|coverageTemplate_Id,,0
dbo,fhc_TodoListStatus,todoListStatusID,,0
dbo,fhc_TodoList,todoListId,,0
dbo,fhc_CustPersons_PersonTypes,person_id|persontype_id,,0
dbo,fhc_Journal,journalId,,0
dbo,f_sys_design_template,design_template_id,,0
dbo,f_sys_role,role_id,,0
dbo,fhc_ClaimantProblems,id,,0
